və	vE
bir	bir
ilə	ilE
bu	bu
də	dE
üçün	iCin
olan	olan
Bu	bu
isə	isE
da	da
ki	Ti
kimi	Timi
sonra	sonra
çox	Cox
edir	edir
ildə	ildE
idi	idi
görə	TErE
olaraq	olarax
onun	onun
ən	En
daha	daha
tərəfindən	tErEfindEn
Azərbaycan	azErbayjan
ya	ya
böyük	bEyiS
istifadə	istifadE
o	o
qədər	gEdEr
öz	Ez
O	o
il	il
ilk	ilS
iki	iTi
olmuşdur	olmuSdur
olur	olur
hər	hEr
arasında	arasunda
edən	edEn
bütün	bicin
baş	baS
olunur	olunur
əsas	Esas
təşkil	tESTil
etmək	etmES
etmişdir	etmiSdir
var	var
digər	diTEr
müxtəlif	mixtElif
edilir	edilir
olub	olub
adı	adu
etdi	etdi
biri	biri
həm	hEm
Lakin	laTin
dəfə	dEfE
yeni	yeni
onu	onu
Onun	onun
edilmişdir	edilmiSdir
daxil	daxil
olduğu	oldu
oğlu	olu
adlı	adlu
başqa	baSga
qarşı	garSu
oldu	oldu
əsasən	EsasEn
qəbul	gEbul
belə	belE
haqqında	haggunda
onların	onlarun
üzrə	izrE
zamanı	zamanu
neçə	neCE
yerləşir	yerlESir
həmin	hEmin
vardır	vardur
bilər	bilEr
ona	ona
Bir	bir
davam	davam
zaman	zaman
yüksək	yiSsES
heç	heC
verir	verir
üzərində	izErindE
elmi	elmi
geniş	TeniS
xüsusi	xisusi
nəticəsində	nEtijEsindE
orta	orta
eyni	eyni
kiçik	TiCiS
yalnız	yalnuz
qeyd	geyd
müəyyən	miEyyEn
iştirak	iStiraS
gün	Tin
olar	olar
şəkildə	SETildE
inkişaf	inTiSaf
etdiyi	etdiyi
edirdi	edirdi
ilin	ilin
nəfər	nEfEr
hesab	hesab
olunan	olunan
yaxşı	yaxSu
hərbi	hErbi
olduğunu	oldunu
tarixi	tarixi
kənd	TEnd
olunmuşdur	olunmuSdur
Bakı	baTu
deyil	deyil
az	az
aid	ad
bağlı	balu
əlavə	ElavE
göstərir	TEstErir
üç	iC
artıq	artux
illərdə	illErdE
malik	maliS
təhsil	tEhsil
dövlət	dEvlEt
ikinci	iTinji
səbəb	sEbEb
fəaliyyət	fEaliyyEt
Bundan	bundan
gəlir	TElir
yer	yer
Burada	burada
qədim	gEdim
su	su
həmçinin	hEmCinin
burada	burada
əsrin	Esrin
birlikdə	birliSdE
hissəsi	hissEsi
yerləşən	yerlESEn
edib	edib
əldə	EldE
Həmin	hEmin
ibarət	ibarEt
yenidən	yenidEn
həyata	hEyata
müddət	middEt
bəzi	bEzi
insan	insan
edərək	edErES
onlar	onlar
edilən	edilEn
son	son
olması	olmasu
altında	altunda
lakin	laTin
Belə	belE
zamanda	zamanda
baxmayaraq	baxmayarax
əvvəl	EvvEl
yaxın	yaxun
vaxt	vaxt
ərzində	ErzindE
uzun	uzun
ümumi	imumi
bəy	bEy
ibarətdir	ibarEtdir
Dövlət	dEvlEt
Onlar	onlar
təyin	tEyin
edilmiş	edilmiS
xan	xan
edirlər	edirlEr
ildən	ildEn
etməyə	etmEyE
sıra	sura
şəhər	SEhEr
əmələ	EmElE
min	min
siyasi	siyasi
nə	nE
milli	milli
edildi	edildi
olunmuş	olunmuS
km	kaem
Ancaq	anjax
təmin	tEmin
Böyük	bEyiS
dövrdə	dEvrdE
Hər	hEr
həyat	hEyat
başa	baSa
Buna	buna
başladı	baSladu
tam	tam
məşhur	mEShur
etmiş	etmiS
xarici	xariji
birinci	birinji
dövründə	dEvrindE
qadın	gadun
ola	ola
İlk	ilS
yerli	yerli
yanaşı	yanaSu
təsvir	tEsvir
şəhərində	SEhErindE
anadan	anadan
edə	edE
başlayır	baSlayur
malikdir	maliSdir
Milli	milli
məşğul	mESxul
fərqli	fErgli
mərkəzi	mErTEzi
olmuş	olmuS
Azərbaycanın	azErbayjanun
verən	verEn
əhatə	EhatE
olmaqla	olmagla
türk	tirS
aşağı	aSau
dünya	dinya
Daha	daha
yerinə	yerinE
gələn	TElEn
Avropa	avropa
Azərbaycanda	azErbayjanda
sayı	sayu
əsasında	Esasunda
ərazisində	ErazisindE
idarə	idarE
hələ	hElE
halda	halda
təsir	tEsir
xalq	xalx
özünü	Ezini
musiqi	musigi
rus	rus
beynəlxalq	beynElxalx
yaşayış	yaSayuS
barədə	barEdE
təqdim	tEgdim
güclü	Tijli
çıxış	CuxuS
uyğun	uyxun
adına	aduna
rast	rast
geri	Teri
ancaq	anjax
dəniz	dEniz
mühüm	mihim
müasir	miasir
Rusiya	rusia
təxminən	tExminEn
mövcud	mEvjud
edilməsi	edilmEsi
metr	met3r
əks	ESs
adını	adunu
uzunluğu	uzunlu
iqtisadi	igtisadi
yolu	yolu
meydana	meydana
üzvü	izvi
II	uu
Onların	onlarun
qısa	gusa
istehsal	istehsal
yeri	yeri
doğru	doru
olmayan	olmayan
onları	onlaru
özü	Ezi
müdafiə	midafiE
Bununla	bununla
yoxdur	yoxdur
dilində	dilindE
hansı	hansu
xidmət	xidmEt
nəşr	nES3r
təbii	tEbii
müşahidə	miSahidE
Sovet	sovet
qızı	guzu
sahəsi	sahEsi
Ən	En
dini	dini
inşa	inSa
I	u
buna	buna
m	em
tətbiq	tEtbix
iş	iS
Orta	orta
şəhəri	SEhEri
Bütün	bicin
məlumat	mElumat
mövcuddur	mEvjuddur
tələb	tElEb
hətta	hEtta
əsrdə	EsrdE
biridir	biridir
dörd	dErd
hərəkət	hErETEt
olunub	olunub
imkan	imTan
daxili	daxili
hücum	hijum
Yeni	yeni
vasitəsilə	vasitEsilE
verdi	verdi
kömək	TEmES
milyon	milyon
bəzən	bEzEn
yerdə	yerdE
elə	elE
Məhəmməd	mEhEmmEd
çoxlu	Coxlu
rol	rol
yaşayan	yaSayan
demək	demES
ələ	ElE
nəzərdə	nEzErdE
ailə	alE
iri	iri
əhəmiyyətli	EhEmiyyEtli
almışdır	almuSdur
kişi	TiSi
Beləliklə	belEliSlE
Bəzi	bEzi
sahəsində	sahEsindE
ağır	aur
alır	alur
Amma	amma
illər	illEr
çap	Cap
ifadə	ifadE
mümkün	mimTin
mübarizə	mibarizE
yəni	yEni
Hazırda	hazurda
sahib	sahib
rəsmi	rEsmi
yox	yox
hissəsində	hissEsindE
elan	elan
ciddi	jiddi
dünyanın	dinyanun
şəklində	SESlindE
növ	nEv
yaşayır	yaSayur
ictimai	ijtima
daxildir	daxildir
